"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"**Test Case ID:** TC-DIR-01
**Title:** Page heading is visible on All Truck Brands
"**Test Case ID:** TC-PL-03
**Title:** Check Truck Price lead form rejects mobile that is not 10 digits on 20 ton - 40 ton Trucks
**Language:** en

**Description:**
Open the 20 ton - 40 ton Trucks page, open Check Truck Price, fill a valid name, an invalid (5-digit) mobile number, and leave city empty, then submit.

**Expected Result:**
The real, page-shown mobile-format and location-required validation messages are displayed, and no lead is submitted.

**Steps:**
1. Open the 20 ton - 40 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill a valid name and an invalid mobile number
4. Submit with city left empty
5. Verify the mobile-format and location validation messages are shown","4320","TC-PL-03: Check Truck Price lead form rejects mobile that is not 10 digits on 20 ton - 40 ton Trucks","CategoryPages - PayloadListing [ton20to40] [en] — 20 ton - 40 ton Trucks","2026-09-03","passed","2026-09-03","","","",""
"**Test Case ID:** TC-DIR-01
**Title:** Page heading is visible on Popular Truck Series
**Language:** en

**Description:**
Open the Popular Truck Series directory page and verify its main heading is shown.

**Expected Result:**
The user sees the ""Popular Truck Series"" heading at the top of the page.

**Steps:**
1. Open the Popular Truck Series page
2. Verify the main page heading is visible","1939","TC-DIR-01: page heading is visible on Popular Truck Series","UtilityPages - DirectoryPage [truckSeries] [en] — Popular Truck Series","2026-09-03","passed","2026-09-03","","","",""
"","6960","TC-CDT-00: page links resolve 200/30x; broken links are logged, not failed","UtilityPages - ContentDetailPage [blogDetail] [en] — Blog Article Detail","2026-09-03","passed","2026-09-03","","","",""
"**Test Case ID:** TC-PL-03
**Title:** Check Truck Price lead form rejects mobile that is not 10 digits on Under 1 Ton Trucks
**Language:** en

**Description:**
Open the Under 1 Ton Trucks page, open Check Truck Price, fill a valid name, an invalid (5-digit) mobile number, and leave city empty, then submit.

**Expected Result:**
The real, page-shown mobile-format and location-required validation messages are displayed, and no lead is submitted.

**Steps:**
1. Open the Under 1 Ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill a valid name and an invalid mobile number
4. Submit with city left empty
5. Verify the mobile-format and location validation messages are shown","4687","TC-PL-03: Check Truck Price lead form rejects mobile that is not 10 digits on Under 1 Ton Trucks","CategoryPages - PayloadListing [under1Ton] [en] — Under 1 Ton Trucks","2026-09-03","passed","2026-09-03","","","",""
"","8936","TC-DIR-00: page links resolve 200/30x; broken links are logged, not failed","UtilityPages - DirectoryPage [allBusBrands] [en] — Top Bus Brands","2026-09-03","passed","2026-09-03","","","",""
"**Test Case ID:** TC-PL-01
**Title:** Check Truck Price lead submits successfully on 5 ton - 10 ton Trucks
**Language:** en

**Description:**
Open the 5 ton - 10 ton Trucks page, click a truck card's ""Check Truck Price"" button to open its lead form, fill name, mobile and city, and submit.

**Expected Result:**
A Thank You confirmation is shown after a successful lead submission.

**Steps:**
1. Open the 5 ton - 10 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill name, mobile and city
4. Submit and verify Thank You confirmation","7051","TC-PL-01: Check Truck Price lead submits successfully on 5 ton - 10 ton Trucks","CategoryPages - PayloadListing [ton5to10] [en] — 5 ton - 10 ton Trucks","2026-09-03","passed","2026-09-03","","","",""
"","10819","TC-PL-00: page links resolve 200/30x; broken links are logged, not failed","CategoryPages - PayloadListing [ton2_5to5] [en] — 2.5 ton - 5 ton Trucks","2026-09-03","passed","2026-09-03","","","",""
"**Test Case ID:** TC-PL-05
**Title:** listing heading, filters and cards on 10 ton - 20 ton Trucks
**Language:** en

**Description:**
Open 10 ton - 20 ton Trucks and confirm the page heading and at least one listing card CTA. Filter By is checked when that row is present.

**Expected Result:**
Page heading is visible and at least one listing card button is shown.

**Steps:**
1. Open the 10 ton - 20 ton Trucks page
2. Verify the page heading
3. Verify listing cards (and Filter By when present)","1576","TC-PL-05: listing heading, filters and cards on 10 ton - 20 ton Trucks","CategoryPages - PayloadListing [ton10to20] [en] — 10 ton - 20 ton Trucks","2026-09-03","passed","2026-09-03","","","",""
"","18513","TC-DIR-00: page links resolve 200/30x; broken links are logged, not failed","UtilityPages - DirectoryPage [truckSeries] [en] — Popular Truck Series","2026-09-03","passed","2026-09-03","","","",""
"","6042","TC-CDT-00: page links resolve 200/30x; broken links are logged, not failed","UtilityPages - ContentDetailPage [privacyPolicy] [en] — Privacy Policy","2026-09-03","passed","2026-09-03","","","",""
"**Test Case ID:** TC-PL-02
**Title:** Check Truck Price lead form shows required validation when submitted empty on 2.5 ton - 5 ton Trucks
**Language:** en

**Description:**
Open the 2.5 ton - 5 ton Trucks page, open Check Truck Price, and submit with name, mobile and city all left empty.

**Expected Result:**
The real, page-shown validation messages for name, mobile and location are displayed, and no lead is submitted.

**Steps:**
1. Open the 2.5 ton - 5 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Leave name, mobile and city empty and submit
4. Verify all three required-field validation messages are shown","4238","TC-PL-02: Check Truck Price lead form shows required validation when submitted empty on 2.5 ton - 5 ton Trucks","CategoryPages - PayloadListing [ton2_5to5] [en] — 2.5 ton - 5 ton Trucks","2026-09-03","passed","2026-09-03","","","",""
"**Test Case ID:** TC-PL-01
**Title:** Check Truck Price lead submits successfully on 10 ton - 20 ton Trucks
**Language:** en

**Description:**
Open the 10 ton - 20 ton Trucks page, click a truck card's ""Check Truck Price"" button to open its lead form, fill name, mobile and city, and submit.

**Expected Result:**
A Thank You confirmation is shown after a successful lead submission.

**Steps:**
1. Open the 10 ton - 20 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill name, mobile and city
4. Submit and verify Thank You confirmation","8465","TC-PL-01: Check Truck Price lead submits successfully on 10 ton - 20 ton Trucks","CategoryPages - PayloadListing [ton10to20] [en] — 10 ton - 20 ton Trucks","2026-09-03","passed","2026-09-03","","","",""
"**Test Case ID:** TC-PL-03
**Title:** Check Truck Price lead form rejects mobile that is not 10 digits on 1 ton - 2.5 ton Trucks
**Language:** en

**Description:**
Open the 1 ton - 2.5 ton Trucks page, open Check Truck Price, fill a valid name, an invalid (5-digit) mobile number, and leave city empty, then submit.

**Expected Result:**
The real, page-shown mobile-format and location-required validation messages are displayed, and no lead is submitted.

**Steps:**
1. Open the 1 ton - 2.5 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill a valid name and an invalid mobile number
4. Submit with city left empty
5. Verify the mobile-format and location validation messages are shown","4584","TC-PL-03: Check Truck Price lead form rejects mobile that is not 10 digits on 1 ton - 2.5 ton Trucks","CategoryPages - PayloadListing [ton1to2_5] [en] — 1 ton - 2.5 ton Trucks","2026-09-03","passed","2026-09-03","","","",""
